Test,real_eeg,dis,sd
Train,,,
real_eeg,0.7633376288967034,0.99462890625,0.547607421875
real_eeg EMA,0.7870489690721649,0.910888671875,0.60888671875
dis,0.5585875200312673,1.0,0.503662109375
dis EMA,0.6465061803183487,0.98828125,0.53076171875
sd,0.6018989234449761,0.59814453125,0.845703125
sd EMA,0.6277412281652387,0.54052734375,0.7021484375
